Организация отдыха,Период заезда,Количество обращений,Количество страховых случаев
Российский государственный социальный университет  Учебно-реабилитационный молодежный центр «Алмаз»(обособка),04.08.2019 - 24.08.2019,2,2
Филиал Детский Санаторий Солнышко ОАО Белагроздравница (обособка),06.08.2019 - 24.08.2019,2,0
Филиал Центральный Военный Детский санаторий Федерального Государственного Бюджетного учреждения Санаторно-курортный комплекс Северокавказский  Министерства обороны Российской Федерации (Обособка),28.10.2019 - 11.11.2019,2,0
Детский оздоровительный лагерь Алмаз,26.12.2019 - 10.01.2020,1,0
Детский санаторий Затишье ,24.06.2019 - 14.07.2019,1,1
Общество с Ограниченной Ответственностью «Центр Отдыха Зеленый городок» (Детский оздоровительный лагерь «Дружба») (обособка),20.06.2019 - 10.07.2019,1,1
Российский государственный социальный университет  Учебно-реабилитационный молодежный центр «Алмаз»(обособка),31.05.2019 - 20.06.2019,1,0
Санаторно-оздоровительный лагерь Пикет,30.03.2019 - 14.04.2019,1,0
Санаторно-оздоровительный лагерь Пикет,31.03.2019 - 14.04.2019,1,0
Федеральное государственное бюджетное учреждение Детский оздоровительный пансионат Россия Управления делами Президента Российской Федерации (обособка),03.08.2019 - 23.08.2019,1,1
Всероссийский детский центр Смена (лагерь Арт-Смена),20.07.2019 - 09.08.2019,0,0
Всероссийский детский центр Смена (лагерь Арт-Смена),21.07.2019 - 10.08.2019,0,0
Детский лагерь Эволюция,26.10.2019 - 03.11.2019,0,0
Детский лагерь Эволюция,26.12.2019 - 11.01.2020,0,0
Детский лагерь Эволюция,28.10.2019 - 10.11.2019,0,0
Детский оздоровительный лагерь Алмаз,26.12.2019 - 12.01.2020,0,0
Детский оздоровительный лагерь Березовая роща,06.06.2019 - 26.06.2019,0,0
Детский оздоровительный лагерь Березовая роща,11.08.2019 - 31.08.2019,0,0
Детский оздоровительный лагерь Березовая роща,28.06.2019 - 18.07.2019,0,0
Детский оздоровительный лагерь Жемчужина,01.06.2019 - 21.06.2019,0,0
Детский оздоровительный лагерь Жемчужина,13.07.2019 - 24.07.2019,0,0
Детский оздоровительный пансионат Россия,03.06.2019 - 21.06.2019,0,0
Детский оздоровительный пансионат Россия,12.07.2019 - 13.07.2019,0,0
Детский оздоровительный пансионат Россия,14.07.2019 - 24.07.2019,0,0
Детский реабилитационно-оздоровительный центр  ДОЛ Жемчужина,23.03.2019 - 07.04.2019,0,0
Детский санаторий Затишье ,01.06.2019 - 21.06.2019,0,0
Детский санаторий Затишье ,09.08.2019 - 29.08.2019,0,0
Детский санаторий им. Н.К. Крупской,06.08.2019 - 26.08.2019,0,0
Загородный оздоровительный лагерь Жемчужина Мологи,07.08.2019 - 27.08.2019,0,0
Международный детский центр Компьютерия,07.07.2019 - 27.07.2019,0,0
Международный детский центр Компьютерия,17.06.2019 - 07.07.2019,0,0
Международный детский центр Компьютерия,28.05.2019 - 17.06.2019,0,0
Муниципальное автономное учреждение городского округа Королёв Московской области «Оздоровительно-образовательный центр «Родник».(обособка),03.06.2019 - 23.06.2019,0,0
Муниципальное автономное учреждение городского округа Королёв Московской области «Оздоровительно-образовательный центр «Родник».(обособка),15.07.2019 - 04.08.2019,0,0
Муниципальное автономное учреждение городского округа Королёв Московской области «Оздоровительно-образовательный центр «Родник».(обособка),24.06.2019 - 14.07.2019,0,0
Общество с Ограниченной Ответственностью «Центр Отдыха Зеленый городок» (Детский оздоровительный лагерь «Дружба») (обособка),04.08.2019 - 24.08.2019,0,0
Общество с Ограниченной Ответственностью «Центр Отдыха Зеленый городок» (Детский оздоровительный лагерь «Дружба») (обособка),14.07.2019 - 03.08.2019,0,0
Общество с Ограниченной Ответственностью «Центр Отдыха Зеленый городок» (Детский оздоровительный лагерь «Дружба») (обособка),30.05.2019 - 19.06.2019,0,0
Общество с ограниченной ответственностью пансионат с лечением Плес,08.08.2019 - 28.08.2019,0,0
Общество с ограниченной ответственностью пансионат с лечением Плес,17.07.2019 - 06.08.2019,0,0
Общество с ограниченной ответственностью пансионат с лечением Плес,22.06.2019 - 12.07.2019,0,0
